 name,country_party
US_R,US_Democrats
US_D,US_Republicans
NL_PvdA,NL_PvdA
NL_D66,NL_D66
NL_CDA,NL_CDA
NL_VVD,NL_VVD
IE_FF,IE_FF
IE_FG,IE_FG
IE_Lab,IE_Labour
IE_PD,IE_PD
IE_WP,IE_WP
IE_DL,IE_DLP
IE_NC,
IE_GP,IE_Greens
IE_SF,IE_SF
UK_Con,UK_Conservatives
UK_Lab,UK_Labour
SE_V,SE_V
SE_SAP,SE_SAP
SE_CP,SE_CP
SE_Lib,SE_FP
SE_Mod,SE_MSP
SE_KD,SE_Kd
SE_Grn,SE_MP
SE_All,
ES_PP,ES_PP
ES_PSOE,ES_PSOE
ES_CiU,ES_CiU
DE_SPD,DE_SPD
DE_CDU,DE_CDU/CSU
DE_FDP,DE_FDP
DE_Grn,DE_90/Greens
DE_LINKE,DE_LINKE
AT_OVP,AT_ÖVP
AT_FPO,AT_FPÖ
AT_SPO,AT_SPÖ
IT_Left,
IT_Right,
PT_PS,PT_PS
PT_PSD,PT_PSD
PT_CDS,PT_CDS-PP
PT_CDU,PT_CDU
PT_BE,PT_BE
BU_ATAKA,BU_ATAKA
BU_BBB,BU_BBB
BU_BNS,BU_BNS
BU_BSP,BU_BSP
BU_BZNS,BU_BZNS
BU_DPS,BU_DPS
BU_DSB,BU_DSB
BU_EL,
BU_NDSV,BU_NDSV
BU_ODS,BU_ODS
BU_ONS,BU_ONS
BU_PU/NS,BU_NS
BU_UDF/SDS,BU_SDS
BU_GERB,BU_GERB
BU_SK,BU_SK
CA_CA,CA_RPC
CA_BQ,CA_BQ
CA_Con,CA_CP
CA_Lib,CA_LP
CA_NDP,CA_NDP
CA_PCP,CA_PCP
CA_RPC,CA_RPC
