partyid, name
101,US_R
102,US_D
5,NL_PvdA
6,NL_D66
7,NL_CDA
8,NL_VVD
9,IE_FF
10,IE_FG
11,IE_Lab
12,IE_PD
13,IE_WP
14,IE_DL
15,IE_NC
16,IE_GP
17,IE_SF
201,UK_Con
202,UK_Lab
501,SE_V
502,SE_SAP
503,SE_CP
504,SE_Lib
505,SE_Mod
506,SE_KD
507,SE_Grn
510,SE_All
601,ES_PP
602,ES_PSOE
603,ES_CiU
701,DE_SPD
702,DE_CDU
703,DE_FDP
704,DE_Grn
705,DE_LINKE
1201,AT_OVP
1202,AT_FPO
1203,AT_SPO
801,IT_Left
802,IT_Right
901,PT_PS
902,PT_PSD
903,PT_CDS
904,PT_CDU
905,PT_BE
1001,BU_ATAKA
1002,BU_BBB
1003,BU_BNS
1004,BU_BSP
1005,BU_BZNS
1006,BU_DPS
1007,BU_DSB
1008,BU_EL
1009,BU_NDSV
1010,BU_ODS
1011,BU_ONS
1012,BU_PU/NS
1013,BU_UDF/SDS
1014,BU_GERB
1015,BU_SK
1101,CA_CA
1102,CA_BQ
1103,CA_Con
1104,CA_Lib
1105,CA_NDP
1106,CA_PCP
1107,CA_RPC
